rank_1	rank_2	rank_3	rank_4	respondent_age	hhi	education	region	over_65	female	white	black	stronger_republican_8pt	democrat	republican	independent	hostile_sexism_1	hostile_sexism_2	hostile_sexism_3	hostile_sexism_agg	benevolent_sexism_1	benevolent_sexism_2	benevolent_sexism_3	benevolent_sexism_agg	pro_israel_score	hawk1	hawk2	hawk3	hawkish_aggregate	cosmopolitan	R2P	attention_intl_affairs	vote_trump	vote_harris	knowledge_ir_1	knowledge_ir_2	knowledge_ir_agg	Afghanistan_treatment	apartheid_plus_treatment	apartheid_treatment	apartheid_treatment_broad	persecution_treatment	apart_plus_vs_apart_treatment	apart_plus_vs_persec_treatment	apartheid_vs_persecution_treat	illegal_treatment	illegal_treatment_broad	ICC_referral	ICC_referral_binary	UNSC_condemn	UNSC_condemn_binary	sanctions	sanctions_binary	airstrikes	airstrikes_binary	regime_change	regime_change_binary	immigration	immigration_binary	foreign_aid	foreign_aid_binary	pressuring_IOs	pressuring_IOs_binary	top_priority	top_priority_binary	policy_index	policy_index_binary	new_information	new_information_binary	chance_success	chance_success_binary	moral_obligation	moral_obligation_binary	threat_perc	threat_perc_binary	reputation_suffer	reputation_suffer_binary	as_bad_jim_crow	as_bad_jim_crow_binary	illegal_perception	illegal_perception_binary	willing_write_letter	ICC_referral2	ICC_referral2_binary	UNSC_condemn2	UNSC_condemn2_binary	sanctions2	sanctions2_binary	airstrikes2	airstrikes2_binary	regime_change2	regime_change2_binary	immigration2	immigration2_binary	foreign_aid2	foreign_aid2_binary	pressuring_IOs2	pressuring_IOs2_binary	top_priority2	top_priority2_binary	policy_index2	ICC_referral_within	UNSC_condemn_within	sanctions_within	airstrikes_within	regime_change_within	immigration_within	foreign_aid_within	pressuring_IOs_within	top_priority_within	policy_index_within	ICC_referral_within_bin	UNSC_condemn_within_bin	sanctions_within_bin	airstrikes_within_bin	regime_change_within_bin	immigration_within_bin	foreign_aid_within_bin	pressuring_IOs_within_bin	top_priority_within_bin	policy_index_within_bin	make_illegal	make_illegal_binary	apartheid_ranked_worst	pro_Israel_median	apartheid_ranked_worse_persec
1	3	2	4	55	2	6	1	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	25.0	3.0	5.0	1.0	3.0	5.0	5.0	4.0	0.0	1.0	1.0	1.0	2.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0		1.0	1.0	5.0	1.0	5.0	1.0	5.0	1.0	5.0	1.0	5.0	1.0	5.0	1.0	5.0	1.0	5.0	1.0	5.0	1.0	5.0	1.0	5.0	1.0	5.0	1.0	5.0	1.0	5.0	1.0	5.0	1.0	5.0	1.0	5.0	1.0	1.0	5.0	1.0	5.0	1.0	5.0	1.0	5.0	1.0	5.0	1.0	5.0	1.0	5.0	1.0	5.0	1.0	5.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			1.0	1.0	1.0
2	3	1	4	48	10	5	3	0.0	0.0	1.0	0.0	7.0	0.0	1.0	0.0	2.0	2.0	2.0	2.0	2.0	3.0	1.0	2.0	44.0	4.0	5.0	4.0	4.3333335	4.0	4.0	5.0	1.0	0.0	1.0	1.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0		1.0	1.0	1.0	5.0	1.0	5.0	1.0	5.0	1.0	3.0	0.0	3.0	0.0	4.0	1.0	4.0	1.0	4.0	1.0	4.0	1.0	4.125	0.75	2.0	0.0	2.0	0.0	4.0	1.0	2.0	0.0	4.0	1.0	5.0	1.0	5.0	1.0	0.0	5.0	1.0	5.0	1.0	4.0	1.0	4.0	1.0	2.0	0.0	4.0	1.0	3.0	0.0	4.0	1.0	3.0	0.0	3.875	0.0	0.0	-1.0	1.0	-1.0	0.0	-1.0	0.0	-1.0	-0.25	0.0	0.0	0.0	1.0	0.0	0.0	-1.0	0.0	-1.0	0.0			0.0	1.0	1.0
1	3	4	2	61	1	1	3	0.0	1.0	1.0	0.0	6.0	0.0	0.0	1.0	5.0	2.0	4.0	3.6666667	4.0	4.0	3.0	3.6666667	26.0	5.0	3.0	3.0	3.6666667	3.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0		1.0	1.0	1.0	3.0	0.0	3.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0	1.0	0.0	3.0	0.0	2.0	0.0	1.875	0.0	3.0	0.0	2.0	0.0	3.0	0.0	5.0	1.0	4.0	1.0	3.0	0.0	4.0	1.0	0.0	3.0	0.0	4.0	1.0	2.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	3.0	0.0	3.0	0.0	2.0	0.0	1.0	1.0	0.0	-1.0	0.0	0.0	0.0	1.0	0.125	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125			1.0	1.0	1.0
4	2	3	1	79	14	5	2	1.0	0.0	1.0	0.0	3.0	0.0	0.0	1.0	1.0	1.0	2.0	1.3333334	3.0	4.0	1.0	2.6666667	56.0	2.0	3.0	2.0	2.3333333	3.0	3.0	5.0	0.0	1.0	1.0	1.0	2.0	1.0	0.0	1.0	1.0	0.0	0.0		1.0	1.0	1.0	4.0	1.0	4.0	1.0	4.0	1.0	3.0	0.0	4.0	1.0	4.0	1.0	4.0	1.0	4.0	1.0	4.0	1.0	3.875	0.875	3.0	0.0	3.0	0.0	3.0	0.0	2.0	0.0	3.0	0.0	5.0	1.0	5.0	1.0	1.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-0.875	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-0.875			0.0	1.0	0.0
3	2	4	1	57	5	5	3	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	3.0	5.0	1.0	3.0	0.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	0.0	1.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0		0.0	0.0		1.0	5.0	1.0	5.0	1.0	5.0	1.0	5.0	1.0	5.0	1.0	5.0	1.0	5.0	1.0	5.0	1.0	5.0	1.0	5.0	1.0	2.0	0.0	3.0	0.0	5.0	1.0	5.0	1.0	5.0	1.0	5.0	1.0	5.0	1.0	1.0	5.0	1.0	5.0	1.0	5.0	1.0	5.0	1.0	5.0	1.0	5.0	1.0	5.0	1.0	5.0	1.0	5.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0
1	3	2	4	78	15	2	2	1.0	0.0	1.0	0.0	8.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	3.0	5.0	4.0	4.0	29.0	4.0	4.0	2.0	3.3333333	3.0	4.0	5.0	1.0	0.0	1.0	1.0	2.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0		0.0	0.0	5.0	1.0	4.0	1.0	5.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	3.0	0.0	4.0	1.0	2.625	0.375	2.0	0.0	2.0	0.0	1.0	0.0	2.0	0.0	2.0	0.0	4.0	1.0	5.0	1.0	0.0	5.0	1.0	5.0	1.0	5.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	3.0	0.0	2.0	0.0	2.75	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	3.0	0.0	1.0	1.0	1.0
1	3	2	4	83	4	5	4	1.0	1.0	1.0	0.0	4.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0	1.0	2.0	1.0	1.0	3.0	2.0	2.0	2.0	1.0	4.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0		0.0	0.0		1.0	4.0	1.0	4.0	1.0	3.0	0.0	1.0	0.0	1.0	0.0	4.0	1.0	2.0	0.0	4.0	1.0	4.0	1.0	2.875	0.5	3.0	0.0	1.0	0.0	3.0	0.0	5.0	1.0	2.0	0.0	5.0	1.0	4.0	1.0	1.0	4.0	1.0	4.0	1.0	3.0	0.0	1.0	0.0	1.0	0.0	3.0	0.0	2.0	0.0	4.0	1.0	3.0	0.0	2.75	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-1.0	-0.125	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-1.0	-0.125			1.0	0.0	1.0
3	2	4	1	62	3	2	3	0.0	1.0	1.0	0.0	4.0	0.0	0.0	1.0	4.0	3.0	4.0	3.6666667	1.0	4.0	2.0	2.3333333	89.0	3.0	4.0	3.0	3.3333333	2.0	4.0	3.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0		0.0	0.0		1.0	4.0	1.0	5.0	1.0	4.0	1.0	3.0	0.0	3.0	0.0	3.0	0.0	2.0	0.0	4.0	1.0	4.0	1.0	3.5	0.5	1.0	0.0	2.0	0.0	4.0	1.0	3.0	0.0	3.0	0.0	5.0	1.0	4.0	1.0	1.0	4.0	1.0	4.0	1.0	3.0	0.0	2.0	0.0	3.0	0.0	2.0	0.0	2.0	0.0	5.0	1.0	4.0	1.0	3.125	0.0	-1.0	-1.0	-1.0	0.0	-1.0	0.0	1.0	0.0	-0.375	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.125			0.0	1.0	0.0
1	2	4	3	48	4	2	3	0.0	0.0	1.0	0.0	8.0	0.0	1.0	0.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	5.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0		0.0	0.0		1.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	2.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			1.0	1.0	1.0
4	1	3	2	46	6	2	3	0.0	1.0	1.0	0.0	6.0	0.0	0.0	1.0	4.0	3.0	5.0	4.0	4.0	5.0	5.0	4.6666665	-33.0	4.0	5.0	4.0	4.3333335	5.0	3.0	5.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0		0.0	0.0		1.0	5.0	1.0	5.0	1.0	4.0	1.0	2.0	0.0	2.0	0.0	2.0	0.0	2.0	0.0	4.0	1.0	3.0	0.0	3.25	0.5	2.0	0.0	3.0	0.0	2.0	0.0	2.0	0.0	3.0	0.0	3.0	0.0	2.0	0.0	0.0	4.0	1.0	4.0	1.0	5.0	1.0	2.0	0.0	2.0	0.0	1.0	0.0	2.0	0.0	5.0	1.0	5.0	1.0	3.125	-1.0	-1.0	1.0	0.0	0.0	-1.0	0.0	1.0	2.0	-0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0			0.0	0.0	0.0
1	3	4	2	67	10	2	3	1.0	1.0	1.0	0.0	8.0	0.0	1.0	0.0	3.0	3.0	3.0	3.0	3.0	4.0	4.0	3.6666667	0.0	3.0	4.0	4.0	3.6666667	4.0	2.0	4.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0		1.0	1.0	1.0	2.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	2.0	0.0	2.0	0.0	2.0	0.0	3.0	0.0	2.5	0.0	2.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			1.0	0.0	1.0
3	2	4	1	66	14	5	2	1.0	1.0	1.0	0.0	2.0	1.0	0.0	0.0	1.0	2.0	2.0	1.6666666	2.0	3.0	3.0	2.6666667	0.0	4.0	3.0	3.0	3.3333333	3.0	4.0	5.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0		0.0	0.0	4.0	1.0	5.0	1.0	3.0	0.0	2.0	0.0	3.0	0.0	3.0	0.0	4.0	1.0	4.0	1.0	4.0	1.0	3.5	0.5	3.0	0.0	4.0	1.0	4.0	1.0	3.0	0.0	4.0	1.0	5.0	1.0	4.0	1.0	0.0	2.0	0.0	4.0	1.0	3.0	0.0	1.0	0.0	2.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	4.0	1.0	2.625	-2.0	-1.0	0.0	-1.0	-1.0	0.0	-1.0	-1.0	0.0	-0.875	-1.0	0.0	0.0	0.0	0.0	0.0	-1.0	-1.0	0.0	-0.375	5.0	1.0	0.0	0.0	0.0
1	3	4	2	44	4	3	3	0.0	1.0	0.0	1.0	6.0	0.0	0.0	1.0	4.0	4.0	3.0	3.6666667	5.0	4.0	5.0	4.6666665	0.0	5.0	5.0	1.0	3.6666667	5.0	5.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0		0.0	0.0		1.0	4.0	1.0	5.0	1.0	4.0	1.0	4.0	1.0	5.0	1.0	5.0	1.0	5.0	1.0	4.0	1.0	5.0	1.0	4.5	1.0	3.0	0.0	3.0	0.0	5.0	1.0	5.0	1.0	5.0	1.0	4.0	1.0	5.0	1.0	1.0	5.0	1.0	5.0	1.0	5.0	1.0	5.0	1.0	5.0	1.0	5.0	1.0	5.0	1.0	5.0	1.0	5.0	1.0	5.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			1.0	0.0	1.0
1	4	2	3	71	6	4	3	1.0	1.0	1.0	0.0	8.0	0.0	1.0	0.0	1.0	3.0	1.0	1.6666666	3.0	5.0	4.0	4.0	56.0	1.0	1.0	3.0	1.6666666	2.0	3.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0		1.0	1.0	1.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			1.0	1.0	1.0
